Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
0,0.4871612,0.25,0.2371612
1,0.4324869,0.25,0.1824869
2,0.4047329,0.25,0.1547329
3,0.3876472,0.25,0.1376472
4,0.3903058,0.25,0.1403058
5,0.4152719,0.25,0.1652719
6,0.453068,0.25,0.203068
7,0.4823769,0.25,0.2323769
8,0.4637988,0.25,0.2137988
9,0.4786978,0.25,0.2286978
10,0.5046721,0.25,0.2546721
11,0.5463488,0.25,0.2963488
12,0.5972889,0.25,0.3472889
13,0.6493162,0.25,0.3993162
14,0.7128658,0.25,0.4628658
15,0.8106746,0.25,0.5606746
16,0.8899262,0.25,0.6399262
17,0.9225079,0.25,0.6725079
18,0.9088195,0.25,0.6588195
19,0.9037126,0.25,0.6537126
20,0.8731857,0.25,0.6231857
21,0.7869077,0.25,0.5369077
22,0.6695568,0.25,0.4195568
23,0.5554603,0.25,0.3054603
24,0.4871612,0.25,0.2371612
25,0.4324869,0.25,0.1824869
26,0.4047329,0.25,0.1547329
27,0.3876472,0.25,0.1376472
28,0.3903058,0.25,0.1403058
29,0.4152719,0.25,0.1652719
30,0.453068,0.25,0.203068
31,0.4823769,0.25,0.2323769
32,0.4637988,0.25,0.2137988
33,0.4786978,0.25,0.2286978
34,0.5046721,0.25,0.2546721
35,0.5463488,0.25,0.2963488
36,0.5972889,0.25,0.3472889
37,0.6493162,0.25,0.3993162
38,0.7128658,0.25,0.4628658
39,0.8106746,0.25,0.5606746
40,0.8899262,0.25,0.6399262
41,0.9225079,0.25,0.6725079
42,0.9088195,0.25,0.6588195
43,0.9037126,0.25,0.6537126
44,0.8731857,0.25,0.6231857
45,0.7869077,0.25,0.5369077
46,0.6695568,0.25,0.4195568
47,0.5554603,0.25,0.3054603
48,0.4871612,0.25,0.2371612
49,0.4324869,0.25,0.1824869
50,0.4047329,0.25,0.1547329
51,0.3876472,0.25,0.1376472
52,0.3903058,0.25,0.1403058
53,0.4152719,0.25,0.1652719
54,0.453068,0.25,0.203068
55,0.4823769,0.25,0.2323769
56,0.4637988,0.25,0.2137988
57,0.4786978,0.25,0.2286978
58,0.5046721,0.25,0.2546721
59,0.5463488,0.25,0.2963488
60,0.5972889,0.25,0.3472889
61,0.6493162,0.25,0.3993162
62,0.7128658,0.25,0.4628658
63,0.8106746,0.25,0.5606746
64,0.8899262,0.25,0.6399262
65,0.9225079,0.25,0.6725079
66,0.9088195,0.25,0.6588195
67,0.9037126,0.25,0.6537126
68,0.8731857,0.25,0.6231857
69,0.7869077,0.25,0.5369077
70,0.6695568,0.25,0.4195568
71,0.5554603,0.25,0.3054603
72,0.4871612,0.25,0.2371612
73,0.4324869,0.25,0.1824869
74,0.4047329,0.25,0.1547329
75,0.3876472,0.25,0.1376472
76,0.3903058,0.25,0.1403058
77,0.4152719,0.25,0.1652719
78,0.453068,0.25,0.203068
79,0.4823769,0.25,0.2323769
80,0.4637988,0.25,0.2137988
81,0.4786978,0.25,0.2286978
82,0.5046721,0.25,0.2546721
83,0.5463488,0.25,0.2963488
84,0.5972889,0.25,0.3472889
85,0.6493162,0.25,0.3993162
86,0.7128658,0.25,0.4628658
87,0.8106746,0.25,0.5606746
88,0.8899262,0.25,0.6399262
89,0.9225079,0.25,0.6725079
90,0.9088195,0.25,0.6588195
91,0.9037126,0.25,0.6537126
92,0.8731857,0.25,0.6231857
