Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
0,17.33515,5,12.33515
1,16.89685,5,11.89685
2,16.5431,5,11.5431
3,16.28465,5,11.28465
4,16.4279,5,11.4279
5,17.5968,5,12.5968
6,18.93465,5,13.93465
7,18.8199,5,13.8199
8,19.00695,5,14.00695
9,20.14345,5,15.14345
10,20.65215,5,15.65215
11,21.09175,5,16.09175
12,21.4132,5,16.4132
13,21.0817,5,16.0817
14,20.687,5,15.687
15,20.40015,5,15.40015
16,20.75145,5,15.75145
17,22.61825,5,17.61825
18,22.1503,5,17.1503
19,20.6934,5,15.6934
20,20.19875,5,15.19875
21,19.2659,5,14.2659
22,18.4844,5,13.4844
23,17.6887,5,12.6887
24,17.0276,5,12.0276
25,16.9013,5,11.9013
26,16.86035,5,11.86035
27,16.8323,5,11.8323
28,17.0741,5,12.0741
29,18.2538,5,13.2538
30,19.20645,5,14.20645
31,19.1647,5,14.1647
32,19.9209,5,14.9209
33,20.1539,5,15.1539
34,20.82665,5,15.82665
35,21.72575,5,16.72575
36,21.8171,5,16.8171
37,21.68745,5,16.68745
38,21.67235,5,16.67235
39,21.1279,5,16.1279
40,21.0582,5,16.0582
41,22.8147,5,17.8147
42,22.2336,5,17.2336
43,20.78215,5,15.78215
44,19.83155,5,14.83155
45,18.94105,5,13.94105
46,17.89505,5,12.89505
47,17.12875,5,12.12875
48,16.915,5,11.915
49,16.7531,5,11.7531
50,16.5989,5,11.5989
51,17.12065,5,12.12065
52,18.07415,5,13.07415
53,20.80165,5,15.80165
54,24.9994,5,19.9994
55,29.80675,5,24.80675
56,35.01465,5,30.01465
57,36.91175,5,31.91175
58,38.08195,5,33.08195
59,38.2402,5,33.2402
60,38.1406,5,33.1406
61,37.79575,5,32.79575
62,37.1757,5,32.1757
63,35.09735,5,30.09735
64,32.9157,5,27.9157
65,31.4594,5,26.4594
66,28.5965,5,23.5965
67,26.7647,5,21.7647
68,25.3229,5,20.3229
69,22.60735,5,17.60735
70,19.69565,5,14.69565
71,18.2572,5,13.2572
72,17.07155,5,12.07155
73,16.4155,5,11.4155
74,16.4149,5,11.4149
75,16.7333,5,11.7333
76,17.62215,5,12.62215
77,21.0023,5,16.0023
78,26.0379,5,21.0379
79,31.44325,5,26.44325
80,36.83815,5,31.83815
81,39.24585,5,34.24585
82,40.37495,5,35.37495
83,40.5908,5,35.5908
84,39.3913,5,34.3913
85,40.0062,5,35.0062
86,39.391,5,34.391
87,37.98125,5,32.98125
88,35.6113,5,30.6113
89,33.17345,5,28.17345
90,30.01595,5,25.01595
91,27.81815,5,22.81815
92,25.8624,5,20.8624
93,23.37475,5,18.37475
94,20.3654,5,15.3654
95,18.56595,5,13.56595
96,17.48505,5,12.48505
97,16.94895,5,11.94895
98,17.4449,5,12.4449
99,17.7613,5,12.7613
100,18.72545,5,13.72545
101,22.5651,5,17.5651
102,27.9117,5,22.9117
103,33.34305,5,28.34305
104,37.9513,5,32.9513
105,41.03655,5,36.03655
106,42.3428,5,37.3428
107,43.01685,5,38.01685
108,42.40555,5,37.40555
109,42.10135,5,37.10135
110,41.0803,5,36.0803
111,39.1618,5,34.1618
112,37.05665,5,32.05665
113,34.68215,5,29.68215
114,32.00505,5,27.00505
115,29.6397,5,24.6397
116,27.8191,5,22.8191
117,25.21655,5,20.21655
118,22.4307,5,17.4307
119,20.3674,5,15.3674
120,18.9398,5,13.9398
121,18.2551,5,13.2551
122,17.85595,5,12.85595
123,18.15375,5,13.15375
124,19.16775,5,14.16775
125,22.8909,5,17.8909
126,28.0921,5,23.0921
127,33.73185,5,28.73185
128,38.896,5,33.896
129,41.58675,5,36.58675
130,42.92695,5,37.92695
131,43.01085,5,38.01085
132,41.78745,5,36.78745
133,41.6794,5,36.6794
134,40.853,5,35.853
135,38.83285,5,33.83285
136,36.9673,5,31.9673
137,34.75205,5,29.75205
138,31.52335,5,26.52335
139,29.1932,5,24.1932
140,27.9074,5,22.9074
141,24.95925,5,19.95925
142,21.84775,5,16.84775
143,20.2315,5,15.2315
144,19.4946,5,14.4946
145,18.6751,5,13.6751
146,18.31215,5,13.31215
147,18.2566,5,13.2566
148,19.0024,5,14.0024
149,22.5643,5,17.5643
150,27.9322,5,22.9322
151,32.6496,5,27.6496
152,37.71865,5,32.71865
153,40.59485,5,35.59485
154,41.4955,5,36.4955
155,41.3502,5,36.3502
156,39.8612,5,34.8612
157,40.6802,5,35.6802
158,39.65745,5,34.65745
159,37.66325,5,32.66325
160,35.09575,5,30.09575
161,33.06605,5,28.06605
162,30.7144,5,25.7144
163,28.84935,5,23.84935
164,27.0771,5,22.0771
165,24.4913,5,19.4913
166,21.47115,5,16.47115
167,19.61365,5,14.61365
168,18.3394,5,13.3394
169,17.937,5,12.937
170,16.5081,5,11.5081
171,16.04015,5,11.04015
172,16.4508,5,11.4508
173,17.7543,5,12.7543
174,19.8096,5,14.8096
175,21.13665,5,16.13665
176,22.53295,5,17.53295
177,24.673,5,19.673
178,25.57615,5,20.57615
179,25.9696,5,20.9696
180,26.18425,5,21.18425
181,25.33415,5,20.33415
182,24.689,5,19.689
183,23.9715,5,18.9715
184,23.5759,5,18.5759
185,24.7933,5,19.7933
186,23.87265,5,18.87265
187,23.03585,5,18.03585
188,21.4909,5,16.4909
189,20.2344,5,15.2344
190,18.6576,5,13.6576
191,17.65855,5,12.65855
192,16.6376,5,11.6376
193,16.32235,5,11.32235
194,15.95605,5,10.95605
195,15.8739,5,10.8739
196,16.1361,5,11.1361
197,17.21045,5,12.21045
198,17.9826,5,12.9826
199,18.4098,5,13.4098
200,18.88465,5,13.88465
201,20.14975,5,15.14975
202,21.1821,5,16.1821
203,22.01165,5,17.01165
204,22.3384,5,17.3384
205,22.26045,5,17.26045
206,21.88865,5,16.88865
207,21.3944,5,16.3944
208,21.7419,5,16.7419
209,22.9881,5,17.9881
210,22.33085,5,17.33085
211,21.05555,5,16.05555
212,19.97375,5,14.97375
213,18.9139,5,13.9139
214,17.6317,5,12.6317
215,16.6544,5,11.6544
216,16.4965,5,11.4965
217,16.383,5,11.383
218,17.09695,5,12.09695
219,17.5191,5,12.5191
220,18.79935,5,13.79935
221,22.00135,5,17.00135
222,27.8027,5,22.8027
223,33.70485,5,28.70485
224,38.5681,5,33.5681
225,40.79445,5,35.79445
226,41.87835,5,36.87835
227,42.3403,5,37.3403
228,41.9139,5,36.9139
229,42.0702,5,37.0702
230,41.42885,5,36.42885
231,39.6976,5,34.6976
232,37.3432,5,32.3432
233,34.9932,5,29.9932
234,32.0218,5,27.0218
235,29.7764,5,24.7764
236,28.4194,5,23.4194
237,25.4567,5,20.4567
238,22.14635,5,17.14635
239,20.55665,5,15.55665
