Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
0,0.65425,0.25,0.40425
1,0.57295,0.25,0.32295
2,0.52765,0.25,0.27765
3,0.49545,0.25,0.24545
4,0.49135,0.25,0.24135
5,0.48565,0.25,0.23565
6,0.52455,0.25,0.27455
7,0.5551,0.25,0.3051
8,0.6851,0.25,0.4351
9,0.73305,0.25,0.48305
10,0.8167,0.25,0.5667
11,0.8898,0.25,0.6398
12,0.98625,0.25,0.73625
13,1.10095,0.25,0.85095
14,1.18485,0.25,0.93485
15,1.28035,0.25,1.03035
16,1.39265,0.25,1.14265
17,1.4726,0.25,1.2226
18,1.4314,0.25,1.1814
19,1.4067,0.25,1.1567
20,1.35205,0.25,1.10205
21,1.2223,0.25,0.9723
22,1.06295,0.25,0.81295
23,0.8609,0.25,0.6109
24,0.7194,0.25,0.4694
25,0.61855,0.25,0.36855
26,0.552,0.25,0.302
27,0.51175,0.25,0.26175
28,0.5077,0.25,0.2577
29,0.5172,0.25,0.2672
30,0.54375,0.25,0.29375
31,0.6024,0.25,0.3524
32,0.72105,0.25,0.47105
33,0.84695,0.25,0.59695
34,0.9193,0.25,0.6693
35,1.0334,0.25,0.7834
36,1.1452,0.25,0.8952
37,1.27725,0.25,1.02725
38,1.40805,0.25,1.15805
39,1.5109,0.25,1.2609
40,1.52675,0.25,1.27675
41,1.5743,0.25,1.3243
42,1.5305,0.25,1.2805
43,1.49475,0.25,1.24475
44,1.4807,0.25,1.2307
45,1.33245,0.25,1.08245
46,1.0576,0.25,0.8076
47,0.815,0.25,0.565
48,0.69745,0.25,0.44745
49,0.59365,0.25,0.34365
50,0.548,0.25,0.298
51,0.5221,0.25,0.2721
52,0.52245,0.25,0.27245
53,0.56495,0.25,0.31495
54,0.67475,0.25,0.42475
55,0.69995,0.25,0.44995
56,0.6742,0.25,0.4242
57,0.6943,0.25,0.4443
58,0.71895,0.25,0.46895
59,0.7554,0.25,0.5054
60,0.81575,0.25,0.56575
61,0.89955,0.25,0.64955
62,0.9906,0.25,0.7406
63,1.10925,0.25,0.85925
64,1.2562,0.25,1.0062
65,1.3248,0.25,1.0748
66,1.33375,0.25,1.08375
67,1.27415,0.25,1.02415
68,1.2954,0.25,1.0454
69,1.1779,0.25,0.9279
70,0.96995,0.25,0.71995
71,0.7281,0.25,0.4781
72,0.614,0.25,0.364
73,0.5504,0.25,0.3004
74,0.51875,0.25,0.26875
75,0.49795,0.25,0.24795
76,0.50135,0.25,0.25135
77,0.5448,0.25,0.2948
78,0.6565,0.25,0.4065
79,0.6966,0.25,0.4466
80,0.659,0.25,0.409
81,0.6748,0.25,0.4248
82,0.67315,0.25,0.42315
83,0.6727,0.25,0.4227
84,0.7003,0.25,0.4503
85,0.7222,0.25,0.4722
86,0.7926,0.25,0.5426
87,0.8799,0.25,0.6299
88,0.96845,0.25,0.71845
89,1.04525,0.25,0.79525
90,1.0234,0.25,0.7734
91,1.04925,0.25,0.79925
92,1.1236,0.25,0.8736
93,1.03735,0.25,0.78735
94,0.82075,0.25,0.57075
95,0.6749,0.25,0.4249
96,0.55865,0.25,0.30865
97,0.4917,0.25,0.2417
98,0.45395,0.25,0.20395
99,0.4453,0.25,0.1953
100,0.4773,0.25,0.2273
101,0.51205,0.25,0.26205
102,0.6297,0.25,0.3797
103,0.6661,0.25,0.4161
104,0.60775,0.25,0.35775
105,0.59715,0.25,0.34715
106,0.59725,0.25,0.34725
107,0.6055,0.25,0.3555
108,0.601,0.25,0.351
109,0.5843,0.25,0.3343
110,0.60535,0.25,0.35535
111,0.6278,0.25,0.3778
112,0.66615,0.25,0.41615
113,0.75655,0.25,0.50655
114,0.8036,0.25,0.5536
115,0.84785,0.25,0.59785
116,0.9374,0.25,0.6874
117,0.87245,0.25,0.62245
118,0.7213,0.25,0.4713
119,0.5835,0.25,0.3335
120,0.49825,0.25,0.24825
121,0.4528,0.25,0.2028
122,0.4306,0.25,0.1806
123,0.4322,0.25,0.1822
124,0.4383,0.25,0.1883
125,0.48815,0.25,0.23815
