Time (Hour),Node 0 (Apparent Power; Total),Node 0 (Apparent Power; Critical),Node 0 (Apparent Power; Remaining),Node 0 (Real Power; Total),Node 0 (Real Power; Critical),Node 0 (Real Power; Remaining),Node 0 (Reactive Power; Total),Node 0 (Reactive Power; Critical),Node 0 (Reactive Power; Remaining),Node 1 (Apparent Power; Total),Node 1 (Apparent Power; Critical),Node 1 (Apparent Power; Remaining),Node 1 (Real Power; Total),Node 1 (Real Power; Critical),Node 1 (Real Power; Remaining),Node 1 (Reactive Power; Total),Node 1 (Reactive Power; Critical),Node 1 (Reactive Power; Remaining),Node 2 (Apparent Power; Total),Node 2 (Apparent Power; Critical),Node 2 (Apparent Power; Remaining),Node 2 (Real Power; Total),Node 2 (Real Power; Critical),Node 2 (Real Power; Remaining),Node 2 (Reactive Power; Total),Node 2 (Reactive Power; Critical),Node 2 (Reactive Power; Remaining),Node 3 (Apparent Power; Total),Node 3 (Apparent Power; Critical),Node 3 (Apparent Power; Remaining),Node 3 (Real Power; Total),Node 3 (Real Power; Critical),Node 3 (Real Power; Remaining),Node 3 (Reactive Power; Total),Node 3 (Reactive Power; Critical),Node 3 (Reactive Power; Remaining),Node 4 (Apparent Power; Total),Node 4 (Apparent Power; Critical),Node 4 (Apparent Power; Remaining),Node 4 (Real Power; Total),Node 4 (Real Power; Critical),Node 4 (Real Power; Remaining),Node 4 (Reactive Power; Total),Node 4 (Reactive Power; Critical),Node 4 (Reactive Power; Remaining),Node 5 (Apparent Power),Node 5 (Real Power),Node 5 (Reactive Power),Node 6 (Apparent Power),Node 6 (Real Power),Node 6 (Reactive Power),Node 7 (Apparent Power),Node 7 (Real Power),Node 7 (Reactive Power)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.243327579,0.993684211,0.249643368,1.1811612,0.944,0.2371612,0.388228912,0.310277795,0.077951117,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185775684,0.993684211,0.192091474,1.1264869,0.944,0.1824869,0.370258339,0.310277795,0.059980543,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156560947,0.993684211,0.162876737,1.0987329,0.944,0.1547329,0.36113604,0.310277795,0.050858245,,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.138576,0.993684211,0.144891789,1.0816472,0.944,0.1376472,0.355520242,0.310277795,0.045242447,,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141374526,0.993684211,0.147690316,1.0843058,0.944,0.1403058,0.356394082,0.310277795,0.046116286,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167654632,0.993684211,0.173970421,1.1092719,0.944,0.1652719,0.364600042,0.310277795,0.054322247,,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20744,0.993684211,0.213755789,1.147068,0.944,0.203068,0.377023019,0.310277795,0.066745224,,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238291474,0.993684211,0.244607263,1.1763769,0.944,0.2323769,0.386656389,0.310277795,0.076378593,,,,,,,,,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218735579,0.993684211,0.225051368,1.1577988,0.944,0.2137988,0.380550063,0.310277795,0.070272267,,,,,,,,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234418737,0.993684211,0.240734526,1.1726978,0.944,0.2286978,0.385447127,0.310277795,0.075169332,,,,,,,,,
